============================================================
ПРОФИЛИРОВКА МОДЕЛИ: cnn
============================================================

СТАТИСТИКА ПО CPU
------------------------------------------------------------
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...        94.51%       16.516s        94.54%       16.523s     165.226ms       0.000us         0.00%      33.402ms     334.019us           0 B           0 B           0 B           0 B           100  
                                                forward         1.12%     195.416ms         3.25%     567.981ms       5.680ms       0.000us         0.00%        4.239s      42.393ms           0 B           0 B       2.00 KB    -217.90 GB           100  
                                               aten::to         0.04%       7.513ms         2.21%     385.550ms       1.285ms       0.000us         0.00%     166.105ms     553.682us           0 B           0 B       1.79 GB           0 B           300  
                                         aten::_to_copy         0.04%       7.514ms         2.16%     378.037ms       1.890ms       0.000us         0.00%     166.105ms     830.523us           0 B           0 B       1.79 GB           0 B           200  
                                            aten::copy_         0.04%       6.522ms         2.08%     363.695ms       1.818ms     166.105ms         3.77%     166.105ms     830.523us           0 B           0 B           0 B           0 B           200  
                                  cudaStreamSynchronize         1.98%     346.160ms         1.98%     346.167ms       1.731ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           200  
                                           aten::conv2d         0.05%       8.952ms         0.75%     131.317ms     437.724us       0.000us         0.00%        2.363s       7.877ms           0 B           0 B      66.99 GB           0 B           300  
                                      aten::convolution         0.04%       6.826ms         0.70%     122.365ms     407.884us       0.000us         0.00%        2.363s       7.877ms           0 B           0 B      66.99 GB           0 B           300  
                                     aten::_convolution         0.11%      19.074ms         0.66%     115.539ms     385.131us       0.000us         0.00%        2.363s       7.877ms           0 B           0 B      66.99 GB           0 B           300  
                                       cudaLaunchKernel         0.48%      83.397ms         0.48%      83.397ms      27.799us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          3000  
